"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","mayo.eset_ClusterK2_SAMD_1","mayo.eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE9891_eset_ClusterK2_SAMD_1","GSE9891_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","aaces.eset_ClusterK2_SAMD_1","aaces.eset_ClusterK2_SAMD_2"
"TCGA_eset_ClusterK2_SAMD_1",1,-1,0.785359636559531,-0.785359636559531,0.568825517777221,-0.568825517777221,0.824926985802688,-0.824926985802688,0.157446575581618,-0.157446575581618,0.0333380664639586,-0.0333380664639586
"TCGA_eset_ClusterK2_SAMD_2",-1,1,-0.785359636559531,0.785359636559531,-0.568825517777221,0.568825517777221,-0.824926985802688,0.824926985802688,-0.157446575581618,0.157446575581618,-0.0333380664639586,0.0333380664639586
"mayo.eset_ClusterK2_SAMD_1",0.785359636559531,-0.785359636559531,1,-1,0.749772561141281,-0.749772561141281,0.82441651656194,-0.82441651656194,0.0811630180360357,-0.0811630180360357,0.0142260687773149,-0.0142260687773149
"mayo.eset_ClusterK2_SAMD_2",-0.785359636559531,0.785359636559531,-1,1,-0.749772561141281,0.749772561141281,-0.82441651656194,0.82441651656194,-0.0811630180360357,0.0811630180360357,-0.0142260687773149,0.0142260687773149
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",0.568825517777221,-0.568825517777221,0.749772561141281,-0.749772561141281,1,-1,0.723688500215516,-0.723688500215516,-0.12081869031764,0.12081869031764,-0.121214500536551,0.121214500536551
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-0.568825517777221,0.568825517777221,-0.749772561141281,0.749772561141281,-1,1,-0.723688500215516,0.723688500215516,0.12081869031764,-0.12081869031764,0.121214500536551,-0.121214500536551
"GSE9891_eset_ClusterK2_SAMD_1",0.824926985802688,-0.824926985802688,0.82441651656194,-0.82441651656194,0.723688500215516,-0.723688500215516,1,-1,0.182447903759295,-0.182447903759295,0.131680905107004,-0.131680905107004
"GSE9891_eset_ClusterK2_SAMD_2",-0.824926985802688,0.824926985802688,-0.82441651656194,0.82441651656194,-0.723688500215516,0.723688500215516,-1,1,-0.182447903759295,0.182447903759295,-0.131680905107004,0.131680905107004
"GSE26712_eset_ClusterK2_SAMD_1",0.157446575581618,-0.157446575581618,0.0811630180360357,-0.0811630180360357,-0.12081869031764,0.12081869031764,0.182447903759295,-0.182447903759295,1,-1,0.42863365721005,-0.42863365721005
"GSE26712_eset_ClusterK2_SAMD_2",-0.157446575581618,0.157446575581618,-0.0811630180360357,0.0811630180360357,0.12081869031764,-0.12081869031764,-0.182447903759295,0.182447903759295,-1,1,-0.42863365721005,0.42863365721005
"aaces.eset_ClusterK2_SAMD_1",0.0333380664639586,-0.0333380664639586,0.0142260687773149,-0.0142260687773149,-0.121214500536551,0.121214500536551,0.131680905107004,-0.131680905107004,0.42863365721005,-0.42863365721005,1,-1
"aaces.eset_ClusterK2_SAMD_2",-0.0333380664639586,0.0333380664639586,-0.0142260687773149,0.0142260687773149,0.121214500536551,-0.121214500536551,-0.131680905107004,0.131680905107004,-0.42863365721005,0.42863365721005,-1,1
