"","GSE26712_eset_ClusterK2_SAMD_1","GSE26712_eset_ClusterK2_SAMD_2","GSE26712_eset_ClusterK3_SAMD_1","GSE26712_eset_ClusterK3_SAMD_2","GSE26712_eset_ClusterK3_SAMD_3","GSE26712_eset_ClusterK4_SAMD_1","GSE26712_eset_ClusterK4_SAMD_2","GSE26712_eset_ClusterK4_SAMD_3","GSE26712_eset_ClusterK4_SAMD_4"
"GSE26712_eset_ClusterK2_SAMD_1",1,-1,-0.730441327510212,-0.265984142018996,0.986872749167711,-0.286705197720168,-0.110581033102622,-0.706677070145401,0.983564367399471
"GSE26712_eset_ClusterK2_SAMD_2",-1,1,0.730441327510212,0.265984142018996,-0.986872749167711,0.286705197720168,0.110581033102622,0.706677070145401,-0.983564367399471
"GSE26712_eset_ClusterK3_SAMD_1",-0.730441327510212,0.730441327510212,1,-0.414895177433686,-0.676137807065462,-0.101332492352316,-0.34792707453318,0.996047177651755,-0.67890942532786
"GSE26712_eset_ClusterK3_SAMD_2",-0.265984142018996,0.265984142018996,-0.414895177433686,1,-0.33936139128721,0.518239754269514,0.718594870244224,-0.43472743990839,-0.33548086075109
"GSE26712_eset_ClusterK3_SAMD_3",0.986872749167711,-0.986872749167711,-0.676137807065462,-0.33936139128721,1,-0.313886061351322,-0.16955660543351,-0.652743583448788,0.995579751309954
"GSE26712_eset_ClusterK4_SAMD_1",-0.286705197720168,0.286705197720168,-0.101332492352316,0.518239754269514,-0.313886061351322,1,-0.187672566128133,-0.132115633793882,-0.305433189773511
"GSE26712_eset_ClusterK4_SAMD_2",-0.110581033102622,0.110581033102622,-0.34792707453318,0.718594870244224,-0.16955660543351,-0.187672566128133,1,-0.35411412392848,-0.178252991942444
"GSE26712_eset_ClusterK4_SAMD_3",-0.706677070145401,0.706677070145401,0.996047177651755,-0.43472743990839,-0.652743583448788,-0.132115633793882,-0.35411412392848,1,-0.656742595905803
"GSE26712_eset_ClusterK4_SAMD_4",0.983564367399471,-0.983564367399471,-0.67890942532786,-0.33548086075109,0.995579751309954,-0.305433189773511,-0.178252991942444,-0.656742595905803,1
