"","GSE32062.GPL6480_eset_ClusterK2_SAMD_1","GSE32062.GPL6480_eset_ClusterK2_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_1","GSE32062.GPL6480_eset_ClusterK3_SAMD_2","GSE32062.GPL6480_eset_ClusterK3_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_1","GSE32062.GPL6480_eset_ClusterK4_SAMD_2","GSE32062.GPL6480_eset_ClusterK4_SAMD_3","GSE32062.GPL6480_eset_ClusterK4_SAMD_4"
"GSE32062.GPL6480_eset_ClusterK2_SAMD_1",1,-1,-0.99507702384366,0.466059797928045,0.777092880846045,-0.992050270140633,0.445086541898946,0.525823925849543,0.660315482866911
"GSE32062.GPL6480_eset_ClusterK2_SAMD_2",-1,1,0.99507702384366,-0.466059797928045,-0.777092880846045,0.992050270140633,-0.445086541898946,-0.525823925849543,-0.660315482866911
"GSE32062.GPL6480_eset_ClusterK3_SAMD_1",-0.99507702384366,0.99507702384366,1,-0.47618925588384,-0.774206875109231,0.994866290087385,-0.454737984343549,-0.527682235757267,-0.651286703220867
"GSE32062.GPL6480_eset_ClusterK3_SAMD_2",0.466059797928045,-0.466059797928045,-0.47618925588384,1,-0.175052125193083,-0.456969378481441,0.961505430932818,-0.2109307729612,0.140866357216214
"GSE32062.GPL6480_eset_ClusterK3_SAMD_3",0.777092880846045,-0.777092880846045,-0.774206875109231,-0.175052125193083,1,-0.782628035990058,-0.173571112324719,0.757418273960077,0.630041310671305
"GSE32062.GPL6480_eset_ClusterK4_SAMD_1",-0.992050270140633,0.992050270140633,0.994866290087385,-0.456969378481441,-0.782628035990058,1,-0.437884245934356,-0.560995717607017,-0.637734041050302
"GSE32062.GPL6480_eset_ClusterK4_SAMD_2",0.445086541898946,-0.445086541898946,-0.454737984343549,0.961505430932818,-0.173571112324719,-0.437884245934356,1,-0.179660747982587,0.0501489556521169
"GSE32062.GPL6480_eset_ClusterK4_SAMD_3",0.525823925849543,-0.525823925849543,-0.527682235757267,-0.2109307729612,0.757418273960077,-0.560995717607017,-0.179660747982587,1,0.0194892725944338
"GSE32062.GPL6480_eset_ClusterK4_SAMD_4",0.660315482866911,-0.660315482866911,-0.651286703220867,0.140866357216214,0.630041310671305,-0.637734041050302,0.0501489556521169,0.0194892725944338,1
