"","TCGA_eset_ClusterK2_SAMD_1","TCGA_eset_ClusterK2_SAMD_2","TCGA_eset_ClusterK3_SAMD_1","TCGA_eset_ClusterK3_SAMD_2","TCGA_eset_ClusterK3_SAMD_3","TCGA_eset_ClusterK4_SAMD_1","TCGA_eset_ClusterK4_SAMD_2","TCGA_eset_ClusterK4_SAMD_3","TCGA_eset_ClusterK4_SAMD_4"
"TCGA_eset_ClusterK2_SAMD_1",1,-1,-0.701894221214851,0.970615078044536,-0.359657769941075,-0.641328094368277,0.939363626467042,-0.652812645032621,0.336705793404015
"TCGA_eset_ClusterK2_SAMD_2",-1,1,0.701894221214851,-0.970615078044536,0.359657769941075,0.641328094368277,-0.939363626467042,0.652812645032621,-0.336705793404015
"TCGA_eset_ClusterK3_SAMD_1",-0.701894221214851,0.701894221214851,1,-0.571402812053719,-0.366239412433093,0.98894078224515,-0.506715530098029,0.0955427095869525,-0.665060673288113
"TCGA_eset_ClusterK3_SAMD_2",0.970615078044536,-0.970615078044536,-0.571402812053719,1,-0.525008104145209,-0.506912320780438,0.986277574996383,-0.705044631000472,0.174162905872978
"TCGA_eset_ClusterK3_SAMD_3",-0.359657769941075,0.359657769941075,-0.366239412433093,-0.525008104145209,1,-0.425201612282199,-0.577048150413928,0.696437847940855,0.552004498271899
"TCGA_eset_ClusterK4_SAMD_1",-0.641328094368277,0.641328094368277,0.98894078224515,-0.506912320780438,-0.425201612282199,1,-0.449088001563015,-0.0170081659596626,-0.625588495889051
"TCGA_eset_ClusterK4_SAMD_2",0.939363626467042,-0.939363626467042,-0.506715530098029,0.986277574996383,-0.577048150413928,-0.449088001563015,1,-0.676653750177922,0.0578879107231178
"TCGA_eset_ClusterK4_SAMD_3",-0.652812645032621,0.652812645032621,0.0955427095869525,-0.705044631000472,0.696437847940855,-0.0170081659596626,-0.676653750177922,1,-0.183596927205389
"TCGA_eset_ClusterK4_SAMD_4",0.336705793404015,-0.336705793404015,-0.665060673288113,0.174162905872978,0.552004498271899,-0.625588495889051,0.0578879107231178,-0.183596927205389,1
